,character,move_name,damage,scaling_effect,scaling_for_hit,scaling_after_modifiers,scaled_damage,summed_damage
0,ANNIE,2LK,250,,1.0,1.0,250.0,250.0
1,ANNIE,2MK,575,,1.0,1.0,575.0,825.0
2,ANNIE,5HK,950,,1.0,1.0,950.0,1775.0
3,ANNIE,JHP,875,,0.875,0.875,765.0,2540.0
4,ANNIE,JHK,800,,0.765625,0.765625,612.0,3152.0
5,ANNIE,JHK,900,,0.669921875,0.669921875,602.0,3754.0
6,ANNIE,SAGAN BEAM,250,,0.586181640625,0.586181640625,146.0,3900.0
7,ANNIE,SAGAN BEAM,250,,0.512908935546875,0.512908935546875,128.0,4028.0
8,ANNIE,SAGAN BEAM,250,,0.4487953186035156,0.4487953186035156,112.0,4140.0
9,ANNIE,SAGAN BEAM,250,,0.39269590377807617,0.39269590377807617,98.0,4238.0
10,ANNIE,SAGAN BEAM,250,,0.34360891580581665,0.34360891580581665,85.0,4323.0
11,ANNIE,SAGAN BEAM,250,,0.30065780133008957,0.30065780133008957,75.0,4398.0
12,ANNIE,SAGAN BEAM,250,,0.2630755761638284,0.2630755761638284,65.0,4463.0
13,ANNIE,SAGAN BEAM,250,,0.23019112914334983,0.23019112914334983,57.0,4520.0
14,ANNIE,SAGAN BEAM,250,,0.2014172380004311,0.2014172380004311,50.0,4570.0
15,ANNIE,SAGAN BEAM,250,,0.2,0.2,50.0,4620.0
16,ANNIE,SAGAN BEAM,250,,0.2,0.2,50.0,4670.0
17,ANNIE,SAGAN BEAM,250,,0.2,0.2,50.0,4720.0
18,ANNIE,SAGAN BEAM,250,,0.2,0.2,50.0,4770.0
19,ANNIE,SAGAN BEAM,250,,0.2,0.2,50.0,4820.0
20,ANNIE,SAGAN BEAM,250,,0.2,0.2,50.0,4870.0
21,ANNIE,SAGAN BEAM,250,,0.2,0.2,50.0,4920.0
22,ANNIE,SAGAN BEAM,250,,0.2,0.2,50.0,4970.0
23,ANNIE,SAGAN BEAM,250,,0.2,0.2,50.0,5020.0
24,ANNIE,SAGAN BEAM,250,,0.2,0.2,50.0,5070.0
25,ANNIE,SAGAN BEAM,250,,0.2,0.2,50.0,5120.0
26,ANNIE,SAGAN BEAM,250,,0.2,0.2,50.0,5170.0
27,ANNIE,SAGAN BEAM,250,,0.2,0.2,50.0,5220.0
28,ANNIE,SAGAN BEAM,250,,0.2,0.2,50.0,5270.0
