,character,move_name,damage,scaling_effect,scaling_for_hit,scaling_after_modifiers,scaled_damage,summed_damage
0,ANNIE,2LK,250.0,,1.0,1.0,250.0,250.0
1,ANNIE,2MK,575.0,,1.0,1.0,575.0,825.0
2,ANNIE,2HP,1200.0,,1.0,1.0,1200.0,2025.0
3,ANNIE,M CRESCENT CUT,550.0,,0.875,0.875,481.0,2506.0
4,ANNIE,5MP,500.0,,0.765625,0.765625,382.0,2888.0
5,ANNIE,5HP,700.0,,0.669921875,0.669921875,468.0,3356.0
6,ANNIE,5HP X2,,,,,,
7,ANNIE,KARA,,,,,,
8,ANNIE,RE ENTRY,300.0,,0.586181640625,0.586181640625,175.0,3531.0
9,ANNIE,AD,,,,,,
10,ANNIE,JHP,875.0,,0.512908935546875,0.512908935546875,448.0,3979.0
11,ANNIE,5MK,400.0,,0.4487953186035156,0.4487953186035156,179.0,4158.0
12,ANNIE,5MK X2,500.0,,0.39269590377807617,0.39269590377807617,196.0,4354.0
13,ANNIE,5HK,950.0,,0.34360891580581665,0.34360891580581665,326.0,4680.0
14,ANNIE,JLK,300.0,,0.30065780133008957,0.30065780133008957,90.0,4770.0
15,ANNIE,JHP,875.0,,0.2630755761638284,0.2630755761638284,230.0,5000.0
16,ANNIE,ADC,,,,,,
17,ANNIE,JLP,250.0,,0.23019112914334983,0.23019112914334983,57.0,5057.0
18,ANNIE,JMP,250.0,,0.2014172380004311,0.2014172380004311,50.0,5107.0
19,ANNIE,JMP,250.0,,0.2,0.2,50.0,5157.0
20,ANNIE,JMP,250.0,,0.2,0.2,50.0,5207.0
21,ANNIE,JMP,250.0,,0.2,0.2,50.0,5257.0
22,ANNIE,5LK,200.0,,0.2,0.2,40.0,5297.0
23,ANNIE,5LK,200.0,,0.2,0.2,40.0,5337.0
24,ANNIE,5LK,300.0,,0.2,0.2,60.0,5397.0
25,ANNIE,2MP,600.0,,0.2,0.2,120.0,5517.0
26,ANNIE,5MK,400.0,,0.2,0.2,80.0,5597.0
27,ANNIE,5MK X2,500.0,,0.2,0.2,100.0,5697.0
28,ANNIE,5HP,700.0,,0.2,0.2,140.0,5837.0
29,ANNIE,H NORTH KNUCKLE,650.0,,0.2,0.2,130.0,5967.0
30,ANNIE,H NORTH KNUCKLE FOLLOWUP,900.0,,0.2,0.2,180.0,6147.0
31,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6197.0
32,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6247.0
33,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6297.0
34,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6347.0
35,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6397.0
36,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6447.0
37,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6497.0
38,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6547.0
39,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6597.0
40,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6647.0
41,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6697.0
42,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6747.0
43,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6797.0
44,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6847.0
45,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6897.0
46,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6947.0
47,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6997.0
48,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,7047.0
49,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,7097.0
50,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,7147.0
51,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,7197.0
52,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,7247.0
53,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,7297.0
