,character,move_name,damage,scaling_effect,scaling_for_hit,scaling_after_modifiers,scaled_damage,summed_damage
0,ANNIE,2LK,250.0,,1.0,1.0,250.0,250.0
1,ANNIE,2MK,575.0,,1.0,1.0,575.0,825.0
2,ANNIE,5HP,700.0,,1.0,1.0,700.0,1525.0
3,ANNIE,5HP X2,,,,,,
4,ANNIE,KARA,,,,,,
5,ANNIE,RE ENTRY,300.0,,0.875,0.875,262.0,1787.0
6,ANNIE,ADC,,,,,,
7,ANNIE,JHP,875.0,,0.765625,0.765625,669.0,2456.0
8,ANNIE,5HK,950.0,,0.669921875,0.669921875,636.0,3092.0
9,ANNIE,JMK,625.0,,0.586181640625,0.586181640625,366.0,3458.0
10,ANNIE,RE ENTRY,400.0,,0.512908935546875,0.512908935546875,205.0,3663.0
11,ANNIE,RE ENTRY X2,800.0,,0.4487953186035156,0.4487953186035156,359.0,4022.0
12,ANNIE,2MP,600.0,,0.39269590377807617,0.39269590377807617,235.0,4257.0
13,ANNIE,5MK,400.0,,0.34360891580581665,0.34360891580581665,137.0,4394.0
14,ANNIE,5MK X2,500.0,,0.30065780133008957,0.30065780133008957,150.0,4544.0
15,ANNIE,5HK,950.0,,0.2630755761638284,0.2630755761638284,249.0,4793.0
16,ANNIE,JMP,250.0,,0.23019112914334983,0.23019112914334983,57.0,4850.0
17,ANNIE,JMP,250.0,,0.2014172380004311,0.2014172380004311,50.0,4900.0
18,ANNIE,JMP,250.0,,0.2,0.2,50.0,4950.0
19,ANNIE,JMP,250.0,,0.2,0.2,50.0,5000.0
20,ANNIE,ADC,,,,,,
21,ANNIE,JLP,250.0,,0.2,0.2,50.0,5050.0
22,ANNIE,JMP,250.0,,0.2,0.2,50.0,5100.0
23,ANNIE,JMP,250.0,,0.2,0.2,50.0,5150.0
24,ANNIE,JMP,250.0,,0.2,0.2,50.0,5200.0
25,ANNIE,JMP,250.0,,0.2,0.2,50.0,5250.0
26,ANNIE,5LK,200.0,,0.2,0.2,40.0,5290.0
27,ANNIE,5LK,200.0,,0.2,0.2,40.0,5330.0
28,ANNIE,5LK,300.0,,0.2,0.2,60.0,5390.0
29,ANNIE,2MP,600.0,,0.2,0.2,120.0,5510.0
30,ANNIE,5MK,400.0,,0.2,0.2,80.0,5590.0
31,ANNIE,5MK X2,500.0,,0.2,0.2,100.0,5690.0
32,ANNIE,2HP,1200.0,,0.2,0.275,330.0,6020.0
33,ANNIE,H DESTRUCTION PILLAR,1100.0,,0.2,0.275,302.0,6322.0
34,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6372.0
35,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6422.0
36,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6472.0
37,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6522.0
38,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6572.0
39,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6622.0
40,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6672.0
41,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6722.0
42,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6772.0
43,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6822.0
44,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6872.0
45,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6922.0
46,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6972.0
47,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,7022.0
48,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,7072.0
49,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,7122.0
50,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,7172.0
51,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,7222.0
52,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,7272.0
53,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,7322.0
54,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,7372.0
55,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,7422.0
56,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,7472.0
