,character,move_name,damage,scaling_effect,scaling_for_hit,scaling_after_modifiers,scaled_damage,summed_damage
0,ANNIE,2LK,250.0,,1.0,1.0,250.0,250.0
1,ANNIE,2MK,575.0,,1.0,1.0,575.0,825.0
2,ANNIE,5HP,700.0,,1.0,1.0,700.0,1525.0
3,ANNIE,5HP X2,,,,,,
4,ANNIE,KARA,,,,,,
5,ANNIE,RE ENTRY,300.0,,0.875,0.875,262.0,1787.0
6,ANNIE,ADC,,,,,,
7,ANNIE,JHP,875.0,,0.765625,0.765625,669.0,2456.0
8,ANNIE,5HK,950.0,,0.669921875,0.669921875,636.0,3092.0
9,ANNIE,JLK,300.0,,0.586181640625,0.586181640625,175.0,3267.0
10,ANNIE,JMK,625.0,,0.512908935546875,0.512908935546875,320.0,3587.0
11,ANNIE,ADC,,,,,,
12,ANNIE,JMP,250.0,,0.4487953186035156,0.4487953186035156,112.0,3699.0
13,ANNIE,JMP,250.0,,0.39269590377807617,0.39269590377807617,98.0,3797.0
14,ANNIE,JMP,250.0,,0.34360891580581665,0.34360891580581665,85.0,3882.0
15,ANNIE,JMP,250.0,,0.30065780133008957,0.30065780133008957,75.0,3957.0
16,ANNIE,5LP,300.0,,0.2630755761638284,0.2630755761638284,78.0,4035.0
17,ANNIE,5LP X2,300.0,,0.23019112914334983,0.23019112914334983,69.0,4104.0
18,ANNIE,5MK,400.0,,0.2014172380004311,0.2014172380004311,80.0,4184.0
19,ANNIE,5MK X2,500.0,,0.2,0.2,100.0,4284.0
20,ANNIE,5HK,950.0,,0.2,0.2,190.0,4474.0
21,ANNIE,JLP,250.0,,0.2,0.2,50.0,4524.0
22,ANNIE,JLK,300.0,,0.2,0.2,60.0,4584.0
23,ANNIE,JMP,250.0,,0.2,0.2,50.0,4634.0
24,ANNIE,JMP,250.0,,0.2,0.2,50.0,4684.0
25,ANNIE,JMP,250.0,,0.2,0.2,50.0,4734.0
26,ANNIE,JMP,250.0,,0.2,0.2,50.0,4784.0
27,ANNIE,5LK,200.0,,0.2,0.2,40.0,4824.0
28,ANNIE,5LK,200.0,,0.2,0.2,40.0,4864.0
29,ANNIE,5LK,300.0,,0.2,0.2,60.0,4924.0
30,ANNIE,2MP,600.0,,0.2,0.2,120.0,5044.0
31,ANNIE,5MK,400.0,,0.2,0.2,80.0,5124.0
32,ANNIE,5MK X2,500.0,,0.2,0.2,100.0,5224.0
33,ANNIE,2HP,1200.0,,0.2,0.275,330.0,5554.0
34,ANNIE,OTG,,,,,,
35,ANNIE,H DESTRUCTION PILLAR,1100.0,,0.2,0.275,302.0,5856.0
36,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,5906.0
37,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,5956.0
38,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6006.0
39,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6056.0
40,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6106.0
41,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6156.0
42,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6206.0
43,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6256.0
44,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6306.0
45,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6356.0
46,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6406.0
47,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6456.0
48,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6506.0
49,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6556.0
50,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6606.0
51,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6656.0
52,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6706.0
53,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6756.0
54,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6806.0
55,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6856.0
56,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6906.0
57,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,6956.0
58,ANNIE,SAGAN BEAM,250.0,,0.2,0.2,50.0,7006.0
