,alt_names,guard,properties,damage,scaling,chip_damage,meter_on_hit,meter_on_whiff,on_hit_adv,on_hit_effect,on_block_adv,startup,active,recovery,hitstun,blockstun,hitstop,blockstop,super_hitstop,on_pushblock,footer,thumbnail_url,footer_url,move_category,undizzy,scaling_for_hit,scaling_after_modifiers,character,move_name,scaled_damage,summed_damage
0,MACRO_2LK,['Low'],['-'],250,,,['2.5'],,2,,0 ,['7'],['3'],['15'],['19'],['17'],['7'],,,"['9', '25']",,https://wiki.gbl.gg/images/d/d7/SG_ann_clk_hb.png,https://wiki.gbl.gg/images/4/4e/SG_ann_clk_fd.png,LIGHT_NORMAL,15.0,1.0,1.0,ANNIE,2LK,250.0,250.0
1,MACRO_2MK,['Low'],['-'],575,,,['7.5'],,-2,,-6 ,['14'],['3'],['22'],['22'],['18'],['9'],,,"['2', '19']",,https://wiki.gbl.gg/images/7/77/SG_ann_cmk_hb.png,https://wiki.gbl.gg/images/0/0e/SG_ann_cmk_fd.png,MEDIUM_NORMAL,20.0,1.0,1.0,ANNIE,2MK,575.0,825.0
2,MACRO_5HP,['Mid'],['Chains Into Self'],700,,,['4.5'],,0,,-11 ,['16'],['2'],['33'],['34'],['23'],['11'],,,"['-8', '-7']",- See also 5HP X2.,https://wiki.gbl.gg/images/5/51/SG_ann_shp_hb.png,https://wiki.gbl.gg/images/c/c2/SG_ann_shp_fd.png,HEAVY_NORMAL,30.0,1.0,1.0,ANNIE,5HP,700.0,1525.0
3,"MACRO_214HP
NORTH KNUCKLE
KNUCKLE
H KNUCKLE",['Mid'],['-'],650,,['100'],[' 13.85'],['2.5'],,KD,-15,['26'],['19'],['26'],['30'],['19'],['13'],,,['-'],"- Annie lunges forward with a punch.- Much longer range but more unsafe than other versions.- -7 on block when perfectly spaced with no followup, due to variable recovery.- See also H NORTH KNUCKLE FOLLOWUP.",https://wiki.gbl.gg/images/3/3e/SG_ann_qcbp_hb.png,https://wiki.gbl.gg/images/3/39/SG_ann_qcbhp_fd.png,SPECIAL_MOVE,20.0,0.875,0.875,ANNIE,H NORTH KNUCKLE,568.0,2093.0
4,"H KNUCKLE FOLLOWUP
H KNUCKLE FOLLOW UP
H KNUCKLE FOLLOW-UP
214HP~P
214 HP~P
214+HP~P
QCBHP~P
QCB HP~P
QCB+HP~P
QCB.HP~P
214HP,P
214 HP,P
214+HP,P
QCBHP,P
QCB HP,P
QCB+HP,P
QCB.HP,P
214HP, P
214 HP, P
214+HP, P
QCBHP, P
QCB HP, P
QCB+HP, P
QCB.HP, P
214HP P
214 HP P
214+HP P
QCBHP P
QCB HP P
QCB+HP P
QCB.HP P",['Mid'],['-'],900,,['150'],['12.60'],,,Wall Splat,-16,['5'],['3'],['41'],['22'],['27'],['9'],,,['-'],"- Wall splats the opponent once per combo.- As an assist, applies one extra hits' worth of damage scaling.- As an assist, blockstun reduced to 16 and blockstop reduced to 8.",https://wiki.gbl.gg/images/3/3e/SG_ann_qcbp_hb.png,https://wiki.gbl.gg/images/d/d7/SG_ann_qcbpx2_fd.png,SPECIAL_MOVE,20.0,0.765625,0.765625,ANNIE,H NORTH KNUCKLE FOLLOWUP,689.0,2782.0
5,"MACRO_236PP
BEAM SUPER
LEVEL 1",['Mid'],"['Projectile', ' Invuln. (Full) (Frames 9-15)']",250,,"['40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40']",['-100'],,,KD,-26,['96'],['37'],['37'],"['34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34']","['27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']",,,['-'],"- Annie fires a fullscreen beam from Sagan.- After the first projectile is made, another is made 2f later.- Can be done in the air. See AIR SAGAN BEAM.",https://wiki.gbl.gg/images/1/1d/SG_ann_qcfpp_hb.png,https://wiki.gbl.gg/images/2/27/SG_ann_qcfpp_fd.png,SUPER,0.0,0.669921875,0.669921875,ANNIE,SAGAN BEAM,167.0,2949.0
6,"MACRO_236PP
BEAM SUPER
LEVEL 1",['Mid'],"['Projectile', ' Invuln. (Full) (Frames 9-15)']",250,,"['40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40']",['-100'],,,KD,-26,['96'],['37'],['37'],"['34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34']","['27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']",,,['-'],"- Annie fires a fullscreen beam from Sagan.- After the first projectile is made, another is made 2f later.- Can be done in the air. See AIR SAGAN BEAM.",https://wiki.gbl.gg/images/1/1d/SG_ann_qcfpp_hb.png,https://wiki.gbl.gg/images/2/27/SG_ann_qcfpp_fd.png,SUPER,0.0,0.586181640625,0.586181640625,ANNIE,SAGAN BEAM,146.0,3095.0
7,"MACRO_236PP
BEAM SUPER
LEVEL 1",['Mid'],"['Projectile', ' Invuln. (Full) (Frames 9-15)']",250,,"['40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40']",['-100'],,,KD,-26,['96'],['37'],['37'],"['34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34']","['27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']",,,['-'],"- Annie fires a fullscreen beam from Sagan.- After the first projectile is made, another is made 2f later.- Can be done in the air. See AIR SAGAN BEAM.",https://wiki.gbl.gg/images/1/1d/SG_ann_qcfpp_hb.png,https://wiki.gbl.gg/images/2/27/SG_ann_qcfpp_fd.png,SUPER,0.0,0.512908935546875,0.512908935546875,ANNIE,SAGAN BEAM,128.0,3223.0
8,"MACRO_236PP
BEAM SUPER
LEVEL 1",['Mid'],"['Projectile', ' Invuln. (Full) (Frames 9-15)']",250,,"['40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40']",['-100'],,,KD,-26,['96'],['37'],['37'],"['34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34']","['27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']",,,['-'],"- Annie fires a fullscreen beam from Sagan.- After the first projectile is made, another is made 2f later.- Can be done in the air. See AIR SAGAN BEAM.",https://wiki.gbl.gg/images/1/1d/SG_ann_qcfpp_hb.png,https://wiki.gbl.gg/images/2/27/SG_ann_qcfpp_fd.png,SUPER,0.0,0.4487953186035156,0.4487953186035156,ANNIE,SAGAN BEAM,112.0,3335.0
9,"MACRO_236PP
BEAM SUPER
LEVEL 1",['Mid'],"['Projectile', ' Invuln. (Full) (Frames 9-15)']",250,,"['40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40', '40']",['-100'],,,KD,-26,['96'],['37'],['37'],"['34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34', '34']","['27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']",,,['-'],"- Annie fires a fullscreen beam from Sagan.- After the first projectile is made, another is made 2f later.- Can be done in the air. See AIR SAGAN BEAM.",https://wiki.gbl.gg/images/1/1d/SG_ann_qcfpp_hb.png,https://wiki.gbl.gg/images/2/27/SG_ann_qcfpp_fd.png,SUPER,0.0,0.39269590377807617,0.39269590377807617,ANNIE,SAGAN BEAM,98.0,3433.0
