,alt_names,guard,properties,damage,scaling,chip_damage,meter_on_hit,meter_on_whiff,on_hit_adv,on_hit_effect,on_block_adv,startup,active,recovery,hitstun,blockstun,hitstop,blockstop,super_hitstop,on_pushblock,footer,thumbnail_url,footer_url,move_category,undizzy,scaling_for_hit,scaling_after_modifiers,character,move_name,scaled_damage,summed_damage
0,MACRO_2LK,['Low'],['-'],250,,,['2.5'],,2,,0 ,['7'],['3'],['15'],['19'],['17'],['7'],,,"['9', '25']",,https://wiki.gbl.gg/images/d/d7/SG_ann_clk_hb.png,https://wiki.gbl.gg/images/4/4e/SG_ann_clk_fd.png,LIGHT_NORMAL,15.0,1.0,1.0,ANNIE,2LK,250.0,250.0
1,MACRO_2MK,['Low'],['-'],575,,,['7.5'],,-2,,-6 ,['14'],['3'],['22'],['22'],['18'],['9'],,,"['2', '19']",,https://wiki.gbl.gg/images/7/77/SG_ann_cmk_hb.png,https://wiki.gbl.gg/images/0/0e/SG_ann_cmk_fd.png,MEDIUM_NORMAL,20.0,1.0,1.0,ANNIE,2MK,575.0,825.0
2,MACRO_2HP,['Mid'],['-'],1200,,,['10'],,,KD,-13 ,['12'],['3'],['34'],['22'],['25'],['9'],,,"['-12', '12']","- Very quick anti-air that hits high up, pick up with M Crescent for conversions.",https://wiki.gbl.gg/images/a/a6/SG_ann_chp_hb.png,https://wiki.gbl.gg/images/f/f8/SG_ann_chp_fd.png,HEAVY_NORMAL,30.0,1.0,1.0,ANNIE,2HP,1200.0,2025.0
3,"MACRO_236MP
M GUNFLAME
M FIREBALL
M CUT
CUT M
M CRESCENT
CRESCENT M
CRESCENT CUT M",['Mid'],['Projectile'],550,,['200'],[' 6'],['2.5'],10,,4,['23'],"['1', '46']",['17'],['16'],['12'],['8'],,,['-'],"- Annie sends out a crescent-shaped projectile that travels horizontally.- See also L CRESCENT CUT, H CRESCENT CUT.",https://wiki.gbl.gg/images/2/2d/SG_ann_qcfp_hb.png,https://wiki.gbl.gg/images/7/73/SG_ann_qcfmp_fd.png,SPECIAL_MOVE,20.0,0.875,0.875,ANNIE,M CRESCENT CUT,481.0,2506.0
4,MACRO_5MP,['Mid'],['-'],500,,,['7.50'],,-2,,-11 ,['12'],['2'],['26'],['25'],['16'],['9'],,,"['-1', '0']",,https://wiki.gbl.gg/images/3/33/SG_ann_smp_hb.png,https://wiki.gbl.gg/images/3/33/SG_ann_smp_hb.png,MEDIUM_NORMAL,20.0,0.765625,0.765625,ANNIE,5MP,382.0,2888.0
5,MACRO_5HP,['Mid'],['Chains Into Self'],700,,,['4.5'],,0,,-11 ,['16'],['2'],['33'],['34'],['23'],['11'],,,"['-8', '-7']",- See also 5HP X2.,https://wiki.gbl.gg/images/5/51/SG_ann_shp_hb.png,https://wiki.gbl.gg/images/c/c2/SG_ann_shp_fd.png,HEAVY_NORMAL,30.0,0.669921875,0.669921875,ANNIE,5HP,468.0,3356.0
6,"HP X2
S.HP X2
SHP X2
5.HP X2
5HPX2
HPX2
S.HPX2
SHPX2
5.HPX2",['High'],['-'],0,,,['4.5'],,,Soft KD,-6 ,['19'],['2'],['21'],['27'],['16'],['11'],,,"['4', '5']",- Airborne on frame 7.- Can use the airborne state to kara into divekicks to continue a combo.,https://wiki.gbl.gg/images/5/51/SG_ann_shp_hb.png,https://wiki.gbl.gg/images/1/1d/SG_ann_shp2_fd.png,HEAVY_NORMAL,30.0,0.669921875,0.669921875,ANNIE,5HP X2,0.0,3356.0
7,,,,0,,,,,,,,,,,,,,,,,,,,,,0.669921875,0.669921875,ANNIE,KARA,0.0,3356.0
8,"MACRO_J236K
RE-ENTRY
RE-ENTRY X1
RE ENTRY X1
DIVEKICK X1
DIVEKICK",['Mid'],['-'],300,,['100'],[' 7.5'],['2.5'],11,,-5,['15'],['Until ground'],['24'],['33'],['20'],['13'],['10'],,['-'],"- Annie does up to three divekicks, with the strength determining the angle of her dive.- L versions dives at a 30° angle, M at a 45° angle, and H at a 50° angle (rough estimates).- Not a rekka and will do the next followup in the chain. After the second dive, only the third dive will happen afterwards.- See also RE ENTRY X2, RE ENTRY X3.",https://wiki.gbl.gg/images/6/63/SG_ann_jqcfk_hb.png,https://wiki.gbl.gg/images/6/6c/SG_ann_jqcfkx1_fd.png,SPECIAL_MOVE,20.0,0.586181640625,0.586181640625,ANNIE,RE ENTRY,175.0,3531.0
9,,,,0,,,,,,,,,,,,,,,,,,,,,,0.586181640625,0.586181640625,ANNIE,AD,0.0,3531.0
